question,options,answer,explanation,topic,difficulty,chapter
A primary key is essential for which type of entity set?,"['Only weak entity sets', 'Both strong and weak entity sets', 'Only strong entity sets', 'Neither strong nor weak entity sets']",C,A primary key is crucial for uniquely identifying records in a strong entity set. Weak entity sets rely on the primary key of a strong entity for identification.,Strong and Weak Entity Sets,Medium,7.3
A weak entity typically requires a ________ to uniquely identify its instances.,"[' Foreign key', ' Composite key', ' Candidate key', ' Primary key']",A,"A weak entity relies on a foreign key, referencing the primary key of a strong entity, to achieve unique identification.",Strong and Weak Entity Sets,Medium,7.3
What is the defining characteristic of a weak entity in database design?,"['It possesses a composite primary key.', 'It lacks a unique identifier.', 'It has a single, simple primary key.', 'It is always associated with a multivalued attribute.']",B,"Weak entities, unlike strong entities, do not have their own unique identifier (primary key) and depend on a strong entity for identification.",Attributes and Keys,Easy,7.3
Which type of attribute is calculated or derived from other attributes within an entity?,"['Simple Attribute', 'Composite Attribute', 'Multivalued Attribute', 'Derived Attribute']",D,A derived attribute is not stored directly but is computed from other attributes.,Attributes and Keys,Easy,7.3
A primary key in a relational database must always be:,"['A multivalued attribute.', 'A composite attribute.', 'Unique for each record.', 'A derived attribute.']",C,The primary key's main function is to uniquely identify each record in a table.,Attributes and Keys,Medium,7.3
What is a composite attribute?,"['An attribute that can hold multiple values.', 'An attribute that is calculated from other attributes.', 'An attribute composed of multiple sub-attributes.', 'An attribute that serves as the primary key.']",C,"A composite attribute is made up of several smaller attributes that together form a meaningful unit. For example, an address can be a composite attribute consisting of street, city, state, and zip code.",Attributes and Keys,Medium,7.3
"In database terminology, what is the purpose of a key?","['To store data types for attributes.', 'To uniquely identify records in a table.', 'To define relationships between tables.', 'To specify the data format for a field.']",B,"Keys, especially primary keys, are crucial for uniquely identifying and accessing individual records within a database table.",Attributes and Keys,Easy,7.3
What is the primary purpose of normalization in database design?,"['To increase data redundancy.', 'To simplify the database structure.', 'To minimize data redundancy and improve data integrity.', 'To make the database easier to visualize.']",C) To minimize data redundancy and improve data integrity.,"Normalization aims to reduce data redundancy and improve data integrity by organizing data into smaller, related tables.",E-R Diagram,Easy,7.3
Which of the following best describes an E-R diagram?,"['A programming language used for database management.', 'A graphical representation of entities and their relationships.', 'A type of database normalization technique.', 'A method for data encryption.']",B) A graphical representation of entities and their relationships.,An E-R diagram is a visual tool used to represent entities (things) and how they relate to each other in a database.,E-R Diagram,Easy,7.3
What is a potential consequence of a poorly normalized database?,"['Improved data integrity.', 'Reduced storage space.', 'Data anomalies and redundancy.', 'Increased query efficiency.']",C) Data anomalies and redundancy.,"Poorly normalized databases lead to data redundancy, inconsistencies, and update anomalies.",E-R Diagram,Medium,7.3
The decomposition of large tables into smaller tables during database design is a key aspect of which process?,"['Data encryption', 'Data warehousing', 'Normalization', 'Data mining']",C) Normalization,Normalization involves breaking down large tables to reduce redundancy and improve data integrity.,E-R Diagram,Easy,7.3
What is the goal of achieving different normal forms in database design?,"['To increase the size of the database.', 'To eliminate data anomalies and redundancy.', 'To make the database more complex.', 'To hinder data retrieval.']",B) To eliminate data anomalies and redundancy.,"Different normal forms (like 1NF, 2NF, 3NF) are steps in the normalization process to achieve a well-structured database free from anomalies.",E-R Diagram,Medium,7.3
Which normal form eliminates repeating groups of data within a table?,"['2NF', '3NF', 'BCNF', '1NF']",D,1NF is the foundational normal form that addresses the issue of repeating groups by ensuring all attributes have atomic values.,"Different Normal Forms (1st, 2nd, 3rd, BCNF)",Easy,7.3
A non-key attribute depends on only part of the primary key. Which normal form is violated?,"['1NF', '3NF', 'BCNF', '2NF']",D,"Partial dependency, where a non-key attribute depends on only part of the composite primary key, is a violation of 2NF.","Different Normal Forms (1st, 2nd, 3rd, BCNF)",Medium,7.3
Transitive dependency is directly related to which normal form?,"['1NF', '2NF', '3NF', 'BCNF']",C,"3NF specifically addresses and eliminates transitive dependencies, where a non-key attribute depends on another non-key attribute rather than directly on the primary key.","Different Normal Forms (1st, 2nd, 3rd, BCNF)",Medium,7.3
"In which normal form are all non-key attributes fully functionally dependent on the entire primary key, and there are no transitive dependencies?","['1NF', '2NF', '3NF', 'BCNF (Boyce-Codd Normal Form)']",C,"3NF satisfies both conditions: full functional dependency of non-key attributes on the primary key and absence of transitive dependencies.  While BCNF is stricter, 3NF meets these specific requirements.","Different Normal Forms (1st, 2nd, 3rd, BCNF)",Medium,7.3
What is the primary concern addressed by the First Normal Form (1NF)?,"['Transitive dependencies', 'Partial dependencies', 'Redundant data', 'Atomic values']",D,"1NF's main focus is ensuring that all attributes contain atomic values, eliminating repeating groups and improving data integrity.","Different Normal Forms (1st, 2nd, 3rd, BCNF)",Easy,7.3
What is a functional dependency in relational database design?,"['A constraint ensuring referential integrity between tables.', 'A relationship where one attribute uniquely determines another.', 'A rule defining the order of attributes in a relation.', 'A method for optimizing query performance.']",B,A functional dependency describes a relationship where the value of one attribute (or set of attributes) uniquely determines the value of another attribute.,Functional Dependencies,Easy,7.3
Which normal form is stricter than 3NF and requires every determinant to be a candidate key?,"['1NF', '2NF', '3NF', 'BCNF']",D,"Boyce-Codd Normal Form (BCNF) is a higher normal form than 3NF, imposing the stricter constraint that every determinant must be a candidate key.",Functional Dependencies,Medium,7.3
"In the context of functional dependencies, what does it mean if attribute Y is functionally dependent on attribute X?","['Y determines X.', 'X and Y are independent.', 'X uniquely determines Y.', 'X and Y are always equal.']",C,"A functional dependency X → Y means that for every value of X, there is only one corresponding value of Y.",Functional Dependencies,Easy,7.3
How do functional dependencies aid in database normalization?,"['They increase data redundancy.', 'They prevent data anomalies.', 'They make queries slower.', 'They simplify table joins.']",B,Identifying and resolving functional dependencies helps eliminate redundancy and data anomalies that can arise from poorly structured databases.,Functional Dependencies,Medium,7.3
A determinant in a relation is:,"['An attribute that is always NULL.', 'An attribute that uniquely determines another attribute(s).', 'A primary key only.', 'An attribute that can have multiple values.']",B,A determinant is an attribute (or set of attributes) that determines the value of another attribute in a relation.,Functional Dependencies,Medium,7.3
Which type of integrity constraint restricts the values allowed for a specific database attribute?,"['Referential Integrity', 'Entity Integrity', 'Domain Constraint', 'Unique Constraint']",C,"Domain constraints define the permissible data types and ranges for an attribute, ensuring data accuracy and consistency.",Integrity Constraints and Domain Constraints,Easy,7.3
What is the primary purpose of entity integrity constraints in a relational database?,"['To ensure foreign keys reference valid primary keys.', 'To prevent null values in all attributes.', 'To guarantee unique and non-null primary key values.', 'To enforce data type consistency across attributes.']",C,"Entity integrity is focused on the uniqueness and non-null nature of primary keys, ensuring each record is uniquely identifiable.",Integrity Constraints and Domain Constraints,Easy,7.3
Referential integrity in a database is primarily concerned with maintaining consistency in which aspect of the database design?,"['Data types of attributes', 'Primary key uniqueness', 'Foreign key relationships', 'Domain restrictions on attributes']",C,"Referential integrity rules ensure that foreign keys accurately reference existing primary keys in related tables, preventing orphaned records.",Integrity Constraints and Domain Constraints,Medium,7.3
A database table's primary key is NOT allowed to contain which of the following?,"['Unique values', 'Null values', 'Integer values', 'String values']",B,Entity integrity dictates that primary keys must be unique and not null to ensure each record has a unique identifier.,Integrity Constraints and Domain Constraints,Medium,7.3
What is the role of constraints in database management?,"['To increase the speed of data retrieval.', 'To maintain data accuracy and consistency.', 'To compress data for efficient storage.', 'To facilitate user interaction with the database.']",B,"Constraints are rules enforced to maintain the integrity and consistency of the data within a database, preventing incorrect or inconsistent data from being entered.",Integrity Constraints and Domain Constraints,Easy,7.3
Which SQL command is NOT typically used within a Data Manipulation Language (DML) context?,"['INSERT', 'UPDATE', 'CREATE TABLE', 'DELETE']",C,"CREATE TABLE is a Data Definition Language (DDL) command used to define the structure of a table, while INSERT, UPDATE, and DELETE are DML commands used to manipulate data within tables.","Relations (Joined, Derived)",Easy,7.3
A derived relation is best described as:,"['A relation stored permanently in a database.', 'A relation resulting from a join operation.', 'A relation created dynamically using SQL queries.', 'A relation containing only primary keys.']",C,"Derived relations are temporary relations created on-the-fly using SQL queries or views, unlike base relations that are permanently stored.","Relations (Joined, Derived)",Medium,7.3
What is the primary purpose of a JOIN operation in relational databases?,"['To delete rows from multiple tables.', 'To combine data from multiple tables based on a related column.', 'To create new tables within a database.', 'To sort data within a single table.']",B,"JOIN operations are fundamental for combining data from different tables based on a common attribute, creating a unified view of information.","Relations (Joined, Derived)",Easy,7.3
Which of the following best exemplifies a joined relation?,"['A table listing customer details.', 'A table created using a SELECT statement.', 'A table combining customer orders with product information.', 'A table containing only unique values.']",C,"A joined relation combines data from multiple tables (in this case, customer orders and product information) to provide a more comprehensive dataset.","Relations (Joined, Derived)",Medium,7.3
Data Definition Language (DDL) primarily focuses on:,"['Manipulating existing data.', 'Retrieving specific data.', 'Defining the database structure.', 'Controlling user access.']",C,"DDL commands define the database's schema, including creating, altering, and deleting database objects like tables and indexes.","Relations (Joined, Derived)",Easy,7.3
Which of the following is NOT a Data Definition Language (DDL) command?,"['CREATE', 'ALTER', 'DELETE', 'DROP']",C,"DELETE is a Data Manipulation Language (DML) command used to remove data from a table. CREATE, ALTER, and DROP are DDL commands used to define and modify database structures.",Queries under DDL and DML Commands,Easy,7.3
A view in a database is best described as:,"['A physical copy of a table.', 'A stored procedure that performs a specific task.', 'A virtual table based on a pre-defined query.', 'A type of database index.']",C,"A view is a virtual table; it doesn't store data physically but presents data based on a query.  Options A, B, and D describe different database concepts.",Queries under DDL and DML Commands,Medium,7.3
What is the primary function of Data Manipulation Language (DML) commands?,"['Defining database schemas.', 'Managing user access rights.', 'Manipulating data within database tables.', 'Creating database backups.']",C,"DML commands are used to insert, update, delete, and retrieve data from database tables. The other options describe different database administration tasks.",Queries under DDL and DML Commands,Easy,7.3
Which DML command is used to add new data into a database table?,"['UPDATE', 'DELETE', 'SELECT', 'INSERT']",D,"The INSERT command is specifically designed to add new rows of data into a table. UPDATE modifies existing data, DELETE removes data, and SELECT retrieves data.",Queries under DDL and DML Commands,Easy,7.3
What is the purpose of an assertion in a database?,"['To improve the speed of data retrieval.', 'To enforce data integrity constraints.', 'To create user accounts.', 'To manage database transactions.']",B,"Assertions are used to define rules and constraints that the data must adhere to, ensuring data integrity.  The other options describe unrelated database functionalities.",Queries under DDL and DML Commands,Medium,7.3
"What is the primary function of an operating system, according to the concept of a virtual machine?","['To manage hardware resources directly without abstraction.', 'To present a simplified and user-friendly interface compared to the underlying hardware.', 'To only control the input/output devices of a computer system.', 'To solely execute application programs without interacting with hardware.']",B,"The concept of a virtual machine emphasizes the OS's role in providing a simplified, easier-to-use environment compared to the complexities of the actual hardware.",Views,Easy,7.3
"In the context of operating systems and virtual machines, what does ""extended machine"" refer to?","['A physical machine with enhanced processing capabilities.', 'A machine with a larger physical memory capacity.', 'A simplified, user-friendly representation of the underlying hardware.', 'A specialized machine designed for a specific application.']",C,"An ""extended machine"" is a virtual machine – a simplified and more user-friendly representation of the underlying hardware provided by the operating system.",Views,Medium,7.3
How does the operating system typically relate to the underlying hardware in terms of complexity?,"['The operating system is inherently more complex than the hardware.', 'The operating system and hardware are equally complex.', ""The operating system's abstraction simplifies the hardware's complexity."", ""The operating system's complexity is independent of the hardware's complexity.""]",C,"The passage highlights that the OS simplifies the hardware's complexity, offering a more user-friendly abstraction.",Views,Easy,7.3
What is the core benefit of the operating system's abstraction of the underlying hardware?,"['Increased hardware processing speed.', 'Reduced hardware costs.', 'Enhanced user experience and ease of use.', 'Improved system security.']",C,The primary benefit mentioned is the simplified and more user-friendly experience resulting from the OS's abstraction.,Views,Easy,7.3
"The concept of an operating system as an ""extended machine"" or ""virtual machine"" primarily focuses on which aspect of its functionality?","['Memory management.', 'Process scheduling.', 'User interface and abstraction.', 'File system management.']",C,"The ""extended machine"" concept directly relates to the OS's role in presenting a simplified, user-friendly interface, which is the user interface and abstraction aspect of its functionality.",Views,Medium,7.3
Which of the following best describes a database trigger?,"['A predefined query used for data retrieval.', 'A predefined action automatically executed in response to specific database events.', 'A type of relational algebra operation.', 'A method for enforcing data integrity through constraints.']",B,"Database triggers are automated responses to specific events (like INSERT, UPDATE, DELETE).  They are not queries (A), relational algebra operations (C), or solely for data integrity (D), though they can be used in conjunction with these.",Assertions and Triggering,Easy,7.3
"In the context of database management, what is the primary purpose of a trigger?","['To optimize query execution speed.', 'To automatically enforce data integrity rules.', 'To respond to specific events and perform predefined actions.', 'To manage user access permissions.']",C,"Triggers are primarily designed to automate actions in response to specific database events. While they can be used to enforce integrity (B), their core function is event-driven action execution.",Assertions and Triggering,Easy,7.3
Relational algebra is best described as:,"['A programming language for database interaction.', 'A formal language for querying relational databases.', 'A type of database trigger.', 'A method for normalizing database tables.']",B,"Relational algebra provides a formal, mathematical foundation for describing database queries.  It's not a programming language (A), a trigger (C), or a normalization method (D).",Assertions and Triggering,Medium,7.3
What is a key difference between a stored procedure and a database trigger?,"['Stored procedures are automatically executed, while triggers require explicit calls.', 'Triggers are automatically executed in response to events, while stored procedures are explicitly called.', 'Stored procedures manipulate data, while triggers only enforce constraints.', 'Triggers are used for data retrieval, while stored procedures handle data modification.']",B,"The crucial distinction lies in their execution: triggers are event-driven, while stored procedures require explicit invocation.",Assertions and Triggering,Medium,7.3
A trigger is defined to execute when a row in a table is updated.  Which database event would activate this trigger?,"[' INSERT', ' DELETE', ' UPDATE', ' SELECT']",C,The UPDATE event is the only one listed that corresponds to modifying an existing row in a table.,Assertions and Triggering,Easy,7.3
Which SQL language component is primarily used for creating and modifying database structures?,"['Data Manipulation Language (DML)', 'Data Definition Language (DDL)', 'Transaction Control Language (TCL)', 'Data Query Language (DQL)']",B,"DDL (Data Definition Language) commands are used to define the database structure, including creating, altering, and deleting tables, indexes, and other database objects.  DML handles data manipulation, TCL handles transactions, and DQL is a subset of SQL focusing on querying data.",Relational Algebra,Easy,7.3
A derived relation in a relational database is best described as:,"['A relation stored permanently in a database file.', 'A relation resulting from a join operation only.', 'A relation created through a query or view.', 'A relation with only primary keys.']",C,Derived relations are not stored permanently; they are created dynamically by queries (like SELECT statements) or views.  They are not limited to join operations and don't inherently have any restriction on primary keys.,Relational Algebra,Medium,7.3
What is the primary purpose of a JOIN operation in relational algebra?,"['To delete data from multiple tables.', 'To combine data from multiple tables based on a related column.', 'To sort data within a single table.', 'To create a new table independent of existing ones.']",B,"JOIN operations are fundamental to relational databases for combining data from different tables based on a common attribute or key, thus creating a single, more comprehensive result set.",Relational Algebra,Easy,7.3
Which of the following is NOT a core function typically performed using SQL?,"['Data retrieval', 'Data insertion', 'Operating System management', 'Data modification']",C,"SQL is a database language, focused on managing and manipulating data within a database system. It does not directly manage the operating system.",Relational Algebra,Easy,7.3
"In relational database terminology, what does ""relation"" refer to?","['A specific row in a table.', 'A single column of data.', 'A table structured to store data with rows and columns.', 'A relationship between two users.']",C,"In relational algebra, a ""relation"" is synonymous with a table – a structured set of data organized in rows and columns.  A row is a tuple, a column is an attribute.",Relational Algebra,Medium,7.3
Which relational algebra operation retrieves records present in one relation but not in another?,"['Union (∪)', 'Intersection (∩)', 'Difference (-)', 'Join (⨝)']",C,The difference operation (-) in relational algebra specifically identifies and retrieves tuples present in one relation but absent in another.,Query Cost Estimation,Easy,7.3
"In relational algebra, what does the projection (π) operation do?","['Filters rows based on a condition.', 'Combines data from two relations.', 'Retrieves specific columns.', 'Finds common records between two relations.']",C,"Projection (π) selects specific columns from a relation, effectively reducing the number of attributes.",Query Cost Estimation,Easy,7.3
What is the primary purpose of query cost estimation in database management?,"['To optimize database storage space.', 'To evaluate the efficiency of database queries.', 'To ensure data consistency and integrity.', 'To manage user access permissions.']",B,"Query cost estimation aims to predict the resource consumption (time, memory) of a query, allowing for optimization choices.",Query Cost Estimation,Easy,7.3
Which relational algebra operation combines related records from multiple tables?,"['Selection (σ)', 'Projection (π)', 'Union (∪)', 'Join (⨝)']",D,The join operation (⨝) combines rows from two or more tables based on a related column.,Query Cost Estimation,Medium,7.3
The selection operation (σ) in relational algebra primarily performs which function?,"['Combining tables based on a common attribute.', ' Removing duplicate rows from a table.', 'Filtering rows based on a specified condition.', ' Sorting rows based on a given attribute.']",C,"Selection (σ) filters rows from a relation based on a given condition, returning only those rows that satisfy the condition.",Query Cost Estimation,Medium,7.3
Which of the following is NOT a fundamental query operation?,"['Selection', 'Projection', 'Normalization', 'Join']",C,"Normalization is a database design technique, not a fundamental query operation. Selection, projection, and join are core operations used to retrieve and manipulate data within a database query.",Query Operations,Easy,7.3
What is a crucial factor considered when optimizing query execution plans?,"['Network latency', 'User interface design', 'Disk I/O', 'Programming language used']",C,Disk I/O (Input/Output) is a critical factor affecting query performance.  Minimizing disk access significantly improves query execution speed.,Query Operations,Medium,7.3
The process of choosing the most efficient way to execute a database query is known as:,"['Query Optimization', 'Data Normalization', 'Data Warehousing', 'Indexing']",A,"Query optimization involves analyzing different execution plans to select the most efficient approach based on factors such as I/O, CPU usage, and indexing.",Query Operations,Easy,7.3
"In relational database systems, which operation retrieves only specific columns from a table?","['Grouping', 'Sorting', 'Joining', 'Projection']",D,"The projection operation selects specific columns or attributes from a table, reducing the amount of data retrieved.",Query Operations,Medium,7.3
Which query operation combines data from two or more tables based on a related column?,"['Selection', 'Projection', 'Join', 'Grouping']",C,The join operation combines rows from two or more tables based on a common attribute or columns.,Query Operations,Easy,7.3
What is query optimization in the context of evaluating SQL expressions?,"['Converting SQL queries into a programming language.', 'Improving query performance by choosing the best execution strategy.', 'Storing query results for faster access.', 'Debugging errors in SQL queries.']",B,Query optimization focuses on enhancing the speed and efficiency of SQL query execution by selecting the most effective execution plan.,Evaluation of Expressions,Easy,7.3
Which of the following is a technique used in query optimization?,"['Data encryption', 'Query rewriting', 'Data validation', 'User authentication']",B,Query rewriting is a key technique to improve query performance by reformulating the query into a more efficient form.,Evaluation of Expressions,Easy,7.3
What is the primary goal of query decomposition?,"['To increase the complexity of queries.', 'To simplify complex queries for efficient processing.', 'To encrypt sensitive data within the query.', 'To merge multiple queries into a single one.']",B,"Query decomposition breaks down complex queries into smaller, manageable subqueries to enable efficient processing and result retrieval.",Evaluation of Expressions,Medium,7.3
How does indexing contribute to query optimization?,"['By preventing data duplication.', 'By improving the speed of data retrieval.', 'By encrypting the database.', 'By increasing data storage space.']",B,Indexing allows for faster data retrieval by creating a data structure that points to the location of specific data within the database.,Evaluation of Expressions,Medium,7.3
Eliminating unnecessary computations during query evaluation leads to:,"['Increased query complexity.', 'Reduced query execution time.', 'Increased data storage.', 'More complex indexing requirements.']",B,Removing unnecessary steps improves efficiency and reduces the overall time taken to execute the query.,Evaluation of Expressions,Easy,7.3
Which of the following is a primary goal of query optimization in database systems?,"['Increasing the complexity of queries', 'Reducing response times and resource consumption', 'Limiting the number of users accessing the database', 'Increasing the size of the database files']",B,Query optimization aims to make queries execute faster and use fewer system resources.,Query Optimization,Easy,7.3
What is a significant consequence of poorly optimized database queries?,"['Improved system performance', 'Reduced resource utilization', 'Slow response times and increased resource consumption', 'Enhanced data security']",C,Inefficient queries lead to slowdowns and increased use of system resources.,Query Optimization,Easy,7.3
How does query optimization improve the scalability of a database system?,"['It reduces the amount of data stored in the database.', 'It prevents data loss.', 'It allows the system to handle a larger volume of queries efficiently.', 'It simplifies the database schema.']",C,Optimized queries ensure that the system can handle an increasing number of requests effectively.,Query Optimization,Medium,7.3
Which of the following is NOT a direct benefit of applying query optimization techniques?,"['Faster query execution', 'Lower operational costs', 'Improved data integrity', 'Reduced resource utilization']",C,"While optimization indirectly contributes to data integrity by enabling efficient data management, it is not a direct benefit like faster execution or resource reduction.",Query Optimization,Medium,7.3
The efficiency and scalability of database queries are primarily enhanced by:,"['Increasing the storage capacity of the database', 'Employing sophisticated indexing techniques and query optimization strategies', 'Limiting the number of concurrent users', 'Reducing the complexity of data structures']",B,Indexing and query optimization are core methods for improving query performance and scalability.,Query Optimization,Medium,7.3
What is the primary purpose of query decomposition in the context of database management?,"['To simplify the database schema.', 'To improve the readability of SQL queries.', 'To break down complex queries into smaller, more manageable subqueries.', 'To encrypt sensitive data within the query.']",C,"Query decomposition is a technique used to break down complex queries into smaller, more easily processed subqueries, leading to improved efficiency.",Query Decomposition,Easy,7.3
Which of the following is NOT a common technique used in query optimization?,"['Indexing', 'Query rewriting', 'Data Encryption', 'Efficient joins']",C,"Data encryption is a security measure, not a query optimization technique. Indexing, query rewriting, and efficient joins are all methods used to enhance query performance.",Query Decomposition,Medium,7.3
How does query decomposition contribute to efficient query processing?,"['By increasing the complexity of the query.', 'By reducing the overall processing time.', 'By requiring more memory resources.', 'By increasing the size of the database.']",B,"Breaking down a complex query into smaller subqueries reduces the overall processing time, leading to more efficient query execution.",Query Decomposition,Easy,7.3
"In the context of query optimization, what is the main goal of selecting the best execution strategy?","['To minimize the number of database tables accessed.', ""To maximize the query's execution time."", ""To improve the query's performance and efficiency."", 'To simplify the SQL syntax of the query.']",C,The ultimate goal of selecting the best execution strategy is to improve the overall performance and efficiency of the query.,Query Decomposition,Easy,7.3
Which of the following best describes the relationship between query optimization and query decomposition?,"['They are entirely separate processes.', 'Query decomposition is a specific technique within query optimization.', 'Query optimization is a subset of query decomposition.', 'They are contradictory approaches to query processing.']",B,Query decomposition is a technique employed within the broader process of query optimization to improve query performance.,Query Decomposition,Medium,7.3
